id,usuario,fecha,contenido,likes,comentarios,compartidos,Texto_Procesado,Sentimiento
221,usuario221,2025-05-29,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",68,75,18,servicio excelente satisfecho satisfaccion,Positivo
222,usuario222,2025-04-19,"Esto es increible, estoy extasiado! #extasis",245,42,27,increible extasiado extasis,Positivo
223,usuario223,2025-08-18,Estoy muy feliz con este producto! #alegria,491,2,25,feliz producto alegrio,Positivo
224,usuario224,2025-06-12,No puedo creer lo mal que funciona esto. #colera,155,23,12,poder creer mal función colera,Negativo
225,usuario225,2025-09-12,El peor servicio que he recibido. #colera,33,17,50,peor servicio recibido colera,Negativo
226,usuario226,2025-08-31,"Esto es increible, estoy extasiado! #extasis",202,20,22,increible extasiado extasis,Positivo
227,usuario227,2025-02-08,Me siento decepcionado con la calidad. #decepcion,231,55,28,sentir decepcionado calidad decepcion,Negativo
228,usuario228,2025-09-15,"No volvere a comprar aqui, muy decepcionado. #decepcion",433,45,41,volverir comprar aqui decepcionado decepcion,Negativo
229,usuario229,2025-07-30,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",472,64,48,servicio excelente satisfecho satisfaccion,Positivo
230,usuario230,2025-06-06,"Un producto realmente bueno, supero mis expectativas. #alegria",188,11,34,producto realmente bueno supero expectativa alegrio,Positivo
231,usuario231,2025-06-12,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",130,94,27,servicio excelente satisfecho satisfaccion,Positivo
232,usuario232,2025-06-22,No puedo creer lo mal que funciona esto. #colera,348,71,13,poder creer mal función colera,Negativo
233,usuario233,2025-10-24,"Un producto realmente bueno, supero mis expectativas. #alegria",13,33,49,producto realmente bueno supero expectativa alegrio,Positivo
234,usuario234,2025-08-08,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",177,90,16,servicio excelente satisfecho satisfaccion,Positivo
235,usuario235,2025-09-09,"Un producto realmente bueno, supero mis expectativas. #alegria",112,17,4,producto realmente bueno supero expectativa alegrio,Positivo
236,usuario236,2025-09-10,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",499,23,6,servicio excelente satisfecho satisfaccion,Positivo
237,usuario237,2025-02-01,No puedo creer lo mal que funciona esto. #colera,134,38,28,poder creer mal función colera,Negativo
238,usuario238,2025-02-17,El peor servicio que he recibido. #colera,393,74,44,peor servicio recibido colera,Negativo
239,usuario239,2025-03-29,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",491,5,6,experiencia maravilloso satisfecho satisfaccion,Positivo
240,usuario240,2025-08-01,"No volvere a comprar aqui, muy decepcionado. #decepcion",344,30,30,volverir comprar aqui decepcionado decepcion,Negativo
241,usuario241,2025-03-18,Es frustrante que no funcione como esperaba. #frustracion,348,6,7,frustrante funcione esperar frustracion,Negativo
242,usuario242,2025-06-04,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",410,99,40,experiencia maravilloso satisfecho satisfaccion,Positivo
243,usuario243,2025-11-26,"No volvere a comprar aqui, muy decepcionado. #decepcion",409,77,35,volverir comprar aqui decepcionado decepcion,Negativo
244,usuario244,2025-10-10,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",40,63,25,experiencia maravilloso satisfecho satisfaccion,Positivo
245,usuario245,2025-12-05,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",360,85,37,experiencia maravilloso satisfecho satisfaccion,Positivo
246,usuario246,2025-04-04,"Un producto realmente bueno, supero mis expectativas. #alegria",71,8,20,producto realmente bueno supero expectativa alegrio,Positivo
247,usuario247,2025-05-31,Estoy muy feliz con este producto! #alegria,208,82,4,feliz producto alegrio,Positivo
248,usuario248,2025-10-31,"No volvere a comprar aqui, muy decepcionado. #decepcion",477,84,44,volverir comprar aqui decepcionado decepcion,Negativo
249,usuario249,2025-05-15,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",275,72,8,servicio excelente satisfecho satisfaccion,Positivo
250,usuario250,2025-04-24,Estoy muy feliz con este producto! #alegria,299,88,50,feliz producto alegrio,Positivo
251,usuario251,2025-11-03,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",209,100,9,servicio excelente satisfecho satisfaccion,Positivo
252,usuario252,2025-12-13,Me siento decepcionado con la calidad. #decepcion,23,73,19,sentir decepcionado calidad decepcion,Negativo
253,usuario253,2025-12-19,No puedo creer lo mal que funciona esto. #colera,152,21,38,poder creer mal función colera,Negativo
254,usuario254,2025-09-10,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",298,98,23,experiencia maravilloso satisfecho satisfaccion,Positivo
255,usuario255,2025-02-14,Me siento decepcionado con la calidad. #decepcion,105,89,10,sentir decepcionado calidad decepcion,Negativo
256,usuario256,2025-10-08,El peor servicio que he recibido. #colera,37,31,10,peor servicio recibido colera,Negativo
257,usuario257,2025-08-29,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",123,13,1,experiencia maravilloso satisfecho satisfaccion,Positivo
258,usuario258,2025-03-06,"No volvere a comprar aqui, muy decepcionado. #decepcion",468,75,37,volverir comprar aqui decepcionado decepcion,Negativo
259,usuario259,2025-01-28,Me siento decepcionado con la calidad. #decepcion,420,70,45,sentir decepcionado calidad decepcion,Negativo
260,usuario260,2025-09-11,Me siento decepcionado con la calidad. #decepcion,456,19,17,sentir decepcionado calidad decepcion,Negativo
261,usuario261,2025-06-25,Es frustrante que no funcione como esperaba. #frustracion,438,9,49,frustrante funcione esperar frustracion,Negativo
262,usuario262,2025-08-08,No puedo creer lo mal que funciona esto. #colera,360,29,48,poder creer mal función colera,Negativo
263,usuario263,2025-11-29,Me siento decepcionado con la calidad. #decepcion,383,9,28,sentir decepcionado calidad decepcion,Negativo
264,usuario264,2025-09-29,"Esto es increible, estoy extasiado! #extasis",421,16,30,increible extasiado extasis,Positivo
265,usuario265,2025-04-14,Es frustrante que no funcione como esperaba. #frustracion,268,4,45,frustrante funcione esperar frustracion,Negativo
266,usuario266,2025-09-11,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",33,43,6,servicio excelente satisfecho satisfaccion,Positivo
267,usuario267,2025-10-19,El peor servicio que he recibido. #colera,247,60,1,peor servicio recibido colera,Negativo
268,usuario268,2025-04-22,"No volvere a comprar aqui, muy decepcionado. #decepcion",226,71,14,volverir comprar aqui decepcionado decepcion,Negativo
269,usuario269,2025-10-20,Estoy muy feliz con este producto! #alegria,69,49,11,feliz producto alegrio,Positivo
270,usuario270,2025-01-27,"Esto es increible, estoy extasiado! #extasis",312,54,20,increible extasiado extasis,Positivo
271,usuario271,2025-11-26,Es frustrante que no funcione como esperaba. #frustracion,401,92,33,frustrante funcione esperar frustracion,Negativo
272,usuario272,2025-11-09,Estoy muy feliz con este producto! #alegria,243,86,4,feliz producto alegrio,Positivo
273,usuario273,2025-07-01,"Esto es increible, estoy extasiado! #extasis",253,7,45,increible extasiado extasis,Positivo
274,usuario274,2025-03-15,El peor servicio que he recibido. #colera,452,10,0,peor servicio recibido colera,Negativo
275,usuario275,2025-08-20,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",8,77,49,servicio excelente satisfecho satisfaccion,Positivo
276,usuario276,2025-10-26,Me siento decepcionado con la calidad. #decepcion,316,35,5,sentir decepcionado calidad decepcion,Negativo
277,usuario277,2025-05-17,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",353,6,45,experiencia maravilloso satisfecho satisfaccion,Positivo
278,usuario278,2025-03-03,Estoy muy feliz con este producto! #alegria,160,30,10,feliz producto alegrio,Positivo
279,usuario279,2025-01-12,El peor servicio que he recibido. #colera,338,53,44,peor servicio recibido colera,Negativo
280,usuario280,2025-12-30,Es frustrante que no funcione como esperaba. #frustracion,199,99,14,frustrante funcione esperar frustracion,Negativo
281,usuario281,2025-09-21,Me siento decepcionado con la calidad. #decepcion,386,12,35,sentir decepcionado calidad decepcion,Negativo
282,usuario282,2025-05-25,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",262,22,31,servicio excelente satisfecho satisfaccion,Positivo
283,usuario283,2025-08-28,El peor servicio que he recibido. #colera,119,67,44,peor servicio recibido colera,Negativo
284,usuario284,2025-03-03,El peor servicio que he recibido. #colera,491,91,16,peor servicio recibido colera,Negativo
285,usuario285,2025-01-30,Es frustrante que no funcione como esperaba. #frustracion,178,73,36,frustrante funcione esperar frustracion,Negativo
286,usuario286,2025-12-10,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",199,58,34,experiencia maravilloso satisfecho satisfaccion,Positivo
287,usuario287,2025-07-04,"Un producto realmente bueno, supero mis expectativas. #alegria",237,32,18,producto realmente bueno supero expectativa alegrio,Positivo
288,usuario288,2025-06-29,"Esto es increible, estoy extasiado! #extasis",33,2,45,increible extasiado extasis,Positivo
289,usuario289,2025-06-02,"No volvere a comprar aqui, muy decepcionado. #decepcion",89,75,9,volverir comprar aqui decepcionado decepcion,Negativo
290,usuario290,2025-05-07,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",321,91,1,servicio excelente satisfecho satisfaccion,Positivo
291,usuario291,2025-04-01,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",278,80,14,experiencia maravilloso satisfecho satisfaccion,Positivo
292,usuario292,2025-08-11,No puedo creer lo mal que funciona esto. #colera,257,8,42,poder creer mal función colera,Negativo
293,usuario293,2025-08-03,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",105,83,27,experiencia maravilloso satisfecho satisfaccion,Positivo
294,usuario294,2025-04-20,El peor servicio que he recibido. #colera,115,94,2,peor servicio recibido colera,Negativo
295,usuario295,2025-07-28,"Esto es increible, estoy extasiado! #extasis",358,9,49,increible extasiado extasis,Positivo
296,usuario296,2025-09-20,Es frustrante que no funcione como esperaba. #frustracion,262,46,22,frustrante funcione esperar frustracion,Negativo
297,usuario297,2025-08-06,Es frustrante que no funcione como esperaba. #frustracion,150,12,8,frustrante funcione esperar frustracion,Negativo
298,usuario298,2025-06-24,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",300,45,17,servicio excelente satisfecho satisfaccion,Positivo
299,usuario299,2025-10-28,Es frustrante que no funcione como esperaba. #frustracion,391,89,20,frustrante funcione esperar frustracion,Negativo
300,usuario300,2025-11-26,El peor servicio que he recibido. #colera,330,68,49,peor servicio recibido colera,Negativo
301,usuario301,2025-07-14,"Esto es increible, estoy extasiado! #extasis",353,36,23,increible extasiado extasis,Positivo
302,usuario302,2025-10-24,El peor servicio que he recibido. #colera,76,94,48,peor servicio recibido colera,Negativo
303,usuario303,2025-02-25,Estoy muy feliz con este producto! #alegria,353,84,50,feliz producto alegrio,Positivo
304,usuario304,2025-01-04,"Un producto realmente bueno, supero mis expectativas. #alegria",420,77,33,producto realmente bueno supero expectativa alegrio,Positivo
305,usuario305,2025-06-23,"Esto es increible, estoy extasiado! #extasis",357,62,36,increible extasiado extasis,Positivo
306,usuario306,2025-02-21,"Un producto realmente bueno, supero mis expectativas. #alegria",294,66,6,producto realmente bueno supero expectativa alegrio,Positivo
307,usuario307,2025-03-17,Me siento decepcionado con la calidad. #decepcion,137,79,16,sentir decepcionado calidad decepcion,Negativo
308,usuario308,2025-07-06,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",293,3,4,experiencia maravilloso satisfecho satisfaccion,Positivo
309,usuario309,2025-11-03,"Un producto realmente bueno, supero mis expectativas. #alegria",279,38,50,producto realmente bueno supero expectativa alegrio,Positivo
310,usuario310,2025-08-13,El peor servicio que he recibido. #colera,241,37,5,peor servicio recibido colera,Negativo
311,usuario311,2025-07-30,Es frustrante que no funcione como esperaba. #frustracion,141,97,39,frustrante funcione esperar frustracion,Negativo
312,usuario312,2025-04-09,"Un producto realmente bueno, supero mis expectativas. #alegria",39,94,48,producto realmente bueno supero expectativa alegrio,Positivo
313,usuario313,2025-07-31,El peor servicio que he recibido. #colera,82,5,6,peor servicio recibido colera,Negativo
314,usuario314,2025-04-10,"Esto es increible, estoy extasiado! #extasis",59,7,26,increible extasiado extasis,Positivo
315,usuario315,2025-07-27,"Un producto realmente bueno, supero mis expectativas. #alegria",54,19,9,producto realmente bueno supero expectativa alegrio,Positivo
316,usuario316,2025-12-17,"No volvere a comprar aqui, muy decepcionado. #decepcion",51,13,29,volverir comprar aqui decepcionado decepcion,Negativo
317,usuario317,2025-11-23,Me siento decepcionado con la calidad. #decepcion,167,37,39,sentir decepcionado calidad decepcion,Negativo
318,usuario318,2025-06-01,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",179,67,28,experiencia maravilloso satisfecho satisfaccion,Positivo
319,usuario319,2025-01-11,Me siento decepcionado con la calidad. #decepcion,209,2,28,sentir decepcionado calidad decepcion,Negativo
320,usuario320,2025-01-16,Estoy muy feliz con este producto! #alegria,313,81,3,feliz producto alegrio,Positivo
321,usuario321,2025-02-20,"Esto es increible, estoy extasiado! #extasis",363,11,41,increible extasiado extasis,Positivo
322,usuario322,2025-11-13,El peor servicio que he recibido. #colera,360,67,5,peor servicio recibido colera,Negativo
323,usuario323,2025-12-29,Estoy muy feliz con este producto! #alegria,273,100,18,feliz producto alegrio,Positivo
324,usuario324,2025-05-07,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",264,58,47,servicio excelente satisfecho satisfaccion,Positivo
325,usuario325,2025-08-30,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",15,23,49,experiencia maravilloso satisfecho satisfaccion,Positivo
326,usuario326,2025-03-19,Es frustrante que no funcione como esperaba. #frustracion,493,54,42,frustrante funcione esperar frustracion,Negativo
327,usuario327,2025-02-01,"Esto es increible, estoy extasiado! #extasis",213,73,43,increible extasiado extasis,Positivo
328,usuario328,2025-05-03,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",252,77,22,servicio excelente satisfecho satisfaccion,Positivo
329,usuario329,2025-05-26,"Un producto realmente bueno, supero mis expectativas. #alegria",496,85,49,producto realmente bueno supero expectativa alegrio,Positivo
330,usuario330,2025-09-27,El peor servicio que he recibido. #colera,371,57,11,peor servicio recibido colera,Negativo
331,usuario331,2025-02-03,"Un producto realmente bueno, supero mis expectativas. #alegria",446,66,34,producto realmente bueno supero expectativa alegrio,Positivo
332,usuario332,2025-09-03,Me siento decepcionado con la calidad. #decepcion,442,97,26,sentir decepcionado calidad decepcion,Negativo
333,usuario333,2025-05-29,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",333,10,27,servicio excelente satisfecho satisfaccion,Positivo
334,usuario334,2025-04-09,"Esto es increible, estoy extasiado! #extasis",187,64,7,increible extasiado extasis,Positivo
335,usuario335,2025-12-26,Me siento decepcionado con la calidad. #decepcion,298,84,19,sentir decepcionado calidad decepcion,Negativo
336,usuario336,2025-03-01,Estoy muy feliz con este producto! #alegria,417,7,16,feliz producto alegrio,Positivo
337,usuario337,2025-06-18,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",414,32,26,servicio excelente satisfecho satisfaccion,Positivo
338,usuario338,2025-05-31,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",498,30,46,servicio excelente satisfecho satisfaccion,Positivo
339,usuario339,2025-07-26,"No volvere a comprar aqui, muy decepcionado. #decepcion",356,73,25,volverir comprar aqui decepcionado decepcion,Negativo
340,usuario340,2025-08-21,No puedo creer lo mal que funciona esto. #colera,168,84,22,poder creer mal función colera,Negativo
341,usuario341,2025-07-03,"No volvere a comprar aqui, muy decepcionado. #decepcion",489,60,42,volverir comprar aqui decepcionado decepcion,Negativo
342,usuario342,2025-09-17,Es frustrante que no funcione como esperaba. #frustracion,103,41,3,frustrante funcione esperar frustracion,Negativo
343,usuario343,2025-01-30,No puedo creer lo mal que funciona esto. #colera,408,38,29,poder creer mal función colera,Negativo
344,usuario344,2025-07-08,Es frustrante que no funcione como esperaba. #frustracion,470,28,38,frustrante funcione esperar frustracion,Negativo
345,usuario345,2025-02-21,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",69,51,4,servicio excelente satisfecho satisfaccion,Positivo
346,usuario346,2025-09-10,"Un producto realmente bueno, supero mis expectativas. #alegria",143,50,23,producto realmente bueno supero expectativa alegrio,Positivo
347,usuario347,2025-12-23,Estoy muy feliz con este producto! #alegria,301,61,40,feliz producto alegrio,Positivo
348,usuario348,2025-09-26,Me siento decepcionado con la calidad. #decepcion,138,98,47,sentir decepcionado calidad decepcion,Negativo
349,usuario349,2025-11-27,El peor servicio que he recibido. #colera,95,53,18,peor servicio recibido colera,Negativo
350,usuario350,2025-06-09,Me siento decepcionado con la calidad. #decepcion,430,14,21,sentir decepcionado calidad decepcion,Negativo
351,usuario351,2025-12-05,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",475,45,46,servicio excelente satisfecho satisfaccion,Positivo
352,usuario352,2025-01-25,El peor servicio que he recibido. #colera,204,26,19,peor servicio recibido colera,Negativo
353,usuario353,2025-06-16,"Esto es increible, estoy extasiado! #extasis",211,72,15,increible extasiado extasis,Positivo
354,usuario354,2025-05-16,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",412,68,44,experiencia maravilloso satisfecho satisfaccion,Positivo
355,usuario355,2025-11-19,Me siento decepcionado con la calidad. #decepcion,410,50,28,sentir decepcionado calidad decepcion,Negativo
356,usuario356,2025-04-06,El peor servicio que he recibido. #colera,258,60,30,peor servicio recibido colera,Negativo
357,usuario357,2025-07-12,Me siento decepcionado con la calidad. #decepcion,126,85,38,sentir decepcionado calidad decepcion,Negativo
358,usuario358,2025-05-04,"Esto es increible, estoy extasiado! #extasis",274,94,23,increible extasiado extasis,Positivo
359,usuario359,2025-04-08,"Un producto realmente bueno, supero mis expectativas. #alegria",123,6,3,producto realmente bueno supero expectativa alegrio,Positivo
360,usuario360,2025-03-30,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",184,29,12,servicio excelente satisfecho satisfaccion,Positivo
361,usuario361,2025-01-13,"No volvere a comprar aqui, muy decepcionado. #decepcion",171,42,44,volverir comprar aqui decepcionado decepcion,Negativo
362,usuario362,2025-03-14,No puedo creer lo mal que funciona esto. #colera,470,60,30,poder creer mal función colera,Negativo
363,usuario363,2025-11-13,No puedo creer lo mal que funciona esto. #colera,425,36,2,poder creer mal función colera,Negativo
364,usuario364,2025-08-12,"No volvere a comprar aqui, muy decepcionado. #decepcion",331,15,49,volverir comprar aqui decepcionado decepcion,Negativo
365,usuario365,2025-02-28,"No volvere a comprar aqui, muy decepcionado. #decepcion",178,3,35,volverir comprar aqui decepcionado decepcion,Negativo
366,usuario366,2025-12-14,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",454,9,19,experiencia maravilloso satisfecho satisfaccion,Positivo
367,usuario367,2025-08-19,"Un producto realmente bueno, supero mis expectativas. #alegria",394,46,13,producto realmente bueno supero expectativa alegrio,Positivo
368,usuario368,2025-10-19,Es frustrante que no funcione como esperaba. #frustracion,340,18,38,frustrante funcione esperar frustracion,Negativo
369,usuario369,2025-05-14,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",392,94,8,servicio excelente satisfecho satisfaccion,Positivo
370,usuario370,2025-05-27,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",458,46,25,experiencia maravilloso satisfecho satisfaccion,Positivo
371,usuario371,2025-07-29,Es frustrante que no funcione como esperaba. #frustracion,307,86,16,frustrante funcione esperar frustracion,Negativo
372,usuario372,2025-10-04,"No volvere a comprar aqui, muy decepcionado. #decepcion",356,70,39,volverir comprar aqui decepcionado decepcion,Negativo
373,usuario373,2025-05-18,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",462,22,3,servicio excelente satisfecho satisfaccion,Positivo
374,usuario374,2025-07-19,Estoy muy feliz con este producto! #alegria,309,27,32,feliz producto alegrio,Positivo
375,usuario375,2025-03-17,Estoy muy feliz con este producto! #alegria,209,17,4,feliz producto alegrio,Positivo
376,usuario376,2025-06-01,No puedo creer lo mal que funciona esto. #colera,340,16,27,poder creer mal función colera,Negativo
377,usuario377,2025-05-12,"No volvere a comprar aqui, muy decepcionado. #decepcion",407,28,0,volverir comprar aqui decepcionado decepcion,Negativo
378,usuario378,2025-08-26,Me siento decepcionado con la calidad. #decepcion,310,96,48,sentir decepcionado calidad decepcion,Negativo
379,usuario379,2025-05-11,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",360,63,35,servicio excelente satisfecho satisfaccion,Positivo
380,usuario380,2025-03-27,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",418,25,47,servicio excelente satisfecho satisfaccion,Positivo
381,usuario381,2025-01-19,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",154,20,16,servicio excelente satisfecho satisfaccion,Positivo
382,usuario382,2025-04-09,Me siento decepcionado con la calidad. #decepcion,462,55,8,sentir decepcionado calidad decepcion,Negativo
383,usuario383,2025-05-05,El peor servicio que he recibido. #colera,123,26,13,peor servicio recibido colera,Negativo
384,usuario384,2025-10-30,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",441,100,7,servicio excelente satisfecho satisfaccion,Positivo
385,usuario385,2025-04-17,"No volvere a comprar aqui, muy decepcionado. #decepcion",323,42,42,volverir comprar aqui decepcionado decepcion,Negativo
386,usuario386,2025-10-16,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",288,26,21,experiencia maravilloso satisfecho satisfaccion,Positivo
387,usuario387,2025-03-26,No puedo creer lo mal que funciona esto. #colera,21,60,38,poder creer mal función colera,Negativo
388,usuario388,2025-08-13,No puedo creer lo mal que funciona esto. #colera,65,92,46,poder creer mal función colera,Negativo
389,usuario389,2025-03-07,"No volvere a comprar aqui, muy decepcionado. #decepcion",33,72,45,volverir comprar aqui decepcionado decepcion,Negativo
390,usuario390,2025-09-25,"Esto es increible, estoy extasiado! #extasis",471,17,35,increible extasiado extasis,Positivo
391,usuario391,2025-07-05,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",68,84,9,servicio excelente satisfecho satisfaccion,Positivo
392,usuario392,2025-01-19,"No volvere a comprar aqui, muy decepcionado. #decepcion",136,9,14,volverir comprar aqui decepcionado decepcion,Negativo
393,usuario393,2025-02-23,No puedo creer lo mal que funciona esto. #colera,495,14,47,poder creer mal función colera,Negativo
394,usuario394,2025-02-06,No puedo creer lo mal que funciona esto. #colera,350,97,38,poder creer mal función colera,Negativo
395,usuario395,2025-03-06,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",440,62,40,servicio excelente satisfecho satisfaccion,Positivo
396,usuario396,2025-06-30,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",436,97,24,experiencia maravilloso satisfecho satisfaccion,Positivo
397,usuario397,2025-07-02,"No volvere a comprar aqui, muy decepcionado. #decepcion",415,81,34,volverir comprar aqui decepcionado decepcion,Negativo
398,usuario398,2025-11-20,Estoy muy feliz con este producto! #alegria,33,9,10,feliz producto alegrio,Positivo
399,usuario399,2025-06-04,Estoy muy feliz con este producto! #alegria,135,70,13,feliz producto alegrio,Positivo
400,usuario400,2025-09-27,Estoy muy feliz con este producto! #alegria,135,52,26,feliz producto alegrio,Positivo
401,usuario401,2025-08-03,El peor servicio que he recibido. #colera,195,66,0,peor servicio recibido colera,Negativo
402,usuario402,2025-06-28,"No volvere a comprar aqui, muy decepcionado. #decepcion",403,98,38,volverir comprar aqui decepcionado decepcion,Negativo
403,usuario403,2025-03-09,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",78,51,42,servicio excelente satisfecho satisfaccion,Positivo
404,usuario404,2025-11-01,Estoy muy feliz con este producto! #alegria,406,63,10,feliz producto alegrio,Positivo
405,usuario405,2025-06-09,"Un producto realmente bueno, supero mis expectativas. #alegria",72,95,48,producto realmente bueno supero expectativa alegrio,Positivo
406,usuario406,2025-06-06,Es frustrante que no funcione como esperaba. #frustracion,324,3,8,frustrante funcione esperar frustracion,Negativo
407,usuario407,2025-08-07,Estoy muy feliz con este producto! #alegria,473,57,38,feliz producto alegrio,Positivo
408,usuario408,2025-04-15,Es frustrante que no funcione como esperaba. #frustracion,93,2,18,frustrante funcione esperar frustracion,Negativo
409,usuario409,2025-07-31,Estoy muy feliz con este producto! #alegria,415,93,46,feliz producto alegrio,Positivo
410,usuario410,2025-12-24,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",16,3,36,experiencia maravilloso satisfecho satisfaccion,Positivo
411,usuario411,2025-05-14,El peor servicio que he recibido. #colera,40,72,37,peor servicio recibido colera,Negativo
412,usuario412,2025-06-26,Es frustrante que no funcione como esperaba. #frustracion,3,64,6,frustrante funcione esperar frustracion,Negativo
413,usuario413,2025-01-08,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",76,11,41,servicio excelente satisfecho satisfaccion,Positivo
414,usuario414,2025-06-06,No puedo creer lo mal que funciona esto. #colera,360,86,4,poder creer mal función colera,Negativo
415,usuario415,2025-02-04,"No volvere a comprar aqui, muy decepcionado. #decepcion",67,2,13,volverir comprar aqui decepcionado decepcion,Negativo
416,usuario416,2025-11-17,El peor servicio que he recibido. #colera,192,30,43,peor servicio recibido colera,Negativo
417,usuario417,2025-04-26,Es frustrante que no funcione como esperaba. #frustracion,294,12,41,frustrante funcione esperar frustracion,Negativo
418,usuario418,2025-09-29,"No volvere a comprar aqui, muy decepcionado. #decepcion",368,81,4,volverir comprar aqui decepcionado decepcion,Negativo
419,usuario419,2025-03-24,No puedo creer lo mal que funciona esto. #colera,15,49,25,poder creer mal función colera,Negativo
420,usuario420,2025-06-21,Estoy muy feliz con este producto! #alegria,180,57,28,feliz producto alegrio,Positivo
421,usuario421,2025-06-08,Me siento decepcionado con la calidad. #decepcion,303,9,14,sentir decepcionado calidad decepcion,Negativo
422,usuario422,2025-03-26,Me siento decepcionado con la calidad. #decepcion,339,93,3,sentir decepcionado calidad decepcion,Negativo
423,usuario423,2025-03-06,No puedo creer lo mal que funciona esto. #colera,198,94,10,poder creer mal función colera,Negativo
424,usuario424,2025-07-10,No puedo creer lo mal que funciona esto. #colera,45,60,23,poder creer mal función colera,Negativo
425,usuario425,2025-02-06,Es frustrante que no funcione como esperaba. #frustracion,322,77,11,frustrante funcione esperar frustracion,Negativo
426,usuario426,2025-06-30,"Un producto realmente bueno, supero mis expectativas. #alegria",358,66,22,producto realmente bueno supero expectativa alegrio,Positivo
427,usuario427,2025-05-11,Es frustrante que no funcione como esperaba. #frustracion,273,59,11,frustrante funcione esperar frustracion,Negativo
428,usuario428,2025-08-06,Estoy muy feliz con este producto! #alegria,90,32,6,feliz producto alegrio,Positivo
429,usuario429,2025-03-01,No puedo creer lo mal que funciona esto. #colera,48,69,43,poder creer mal función colera,Negativo
430,usuario430,2025-01-24,"Un producto realmente bueno, supero mis expectativas. #alegria",423,77,8,producto realmente bueno supero expectativa alegrio,Positivo
431,usuario431,2025-11-26,El peor servicio que he recibido. #colera,482,82,31,peor servicio recibido colera,Negativo
432,usuario432,2025-04-14,"Un producto realmente bueno, supero mis expectativas. #alegria",167,43,1,producto realmente bueno supero expectativa alegrio,Positivo
433,usuario433,2025-01-16,No puedo creer lo mal que funciona esto. #colera,393,31,43,poder creer mal función colera,Negativo
434,usuario434,2025-09-08,"Esto es increible, estoy extasiado! #extasis",351,18,22,increible extasiado extasis,Positivo
435,usuario435,2025-12-10,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",172,57,49,experiencia maravilloso satisfecho satisfaccion,Positivo
436,usuario436,2025-01-01,Estoy muy feliz con este producto! #alegria,279,69,33,feliz producto alegrio,Positivo
437,usuario437,2025-10-18,El peor servicio que he recibido. #colera,117,76,3,peor servicio recibido colera,Negativo
438,usuario438,2025-06-01,"Un producto realmente bueno, supero mis expectativas. #alegria",407,95,27,producto realmente bueno supero expectativa alegrio,Positivo
439,usuario439,2025-04-23,No puedo creer lo mal que funciona esto. #colera,310,42,43,poder creer mal función colera,Negativo
