id,usuario,fecha,contenido,retweets,likes,respuestas,Texto_Procesado
230,@usuario230,2025-04-20,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",2,164,81,experiencia maravilloso satisfecho satisfaccion
231,@usuario231,2025-01-07,"Esto es increible, estoy extasiado! #extasis",20,47,67,increible extasiado extasis
232,@usuario232,2025-09-07,"Esto es increible, estoy extasiado! #extasis",68,126,69,increible extasiado extasis
233,@usuario233,2025-04-21,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",9,82,86,experiencia maravilloso satisfecho satisfaccion
234,@usuario234,2025-12-14,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",80,392,59,servicio excelente satisfecho satisfaccion
235,@usuario235,2025-03-15,El peor servicio que he recibido. #colera,117,160,86,peor servicio recibido colera
236,@usuario236,2025-06-21,El peor servicio que he recibido. #colera,195,167,32,peor servicio recibido colera
237,@usuario237,2025-05-02,"Esto es increible, estoy extasiado! #extasis",112,431,12,increible extasiado extasis
238,@usuario238,2025-05-11,"Un producto realmente bueno, supero mis expectativas. #alegria",157,80,0,producto realmente bueno supero expectativa alegrio
239,@usuario239,2025-02-17,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",42,497,80,experiencia maravilloso satisfecho satisfaccion
240,@usuario240,2025-09-04,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",36,285,94,servicio excelente satisfecho satisfaccion
241,@usuario241,2025-06-24,Es frustrante que no funcione como esperaba. #frustracion,92,154,31,frustrante funcione esperar frustracion
242,@usuario242,2025-06-03,"No volvere a comprar aqui, muy decepcionado. #decepcion",92,13,10,volverir comprar aqui decepcionado decepcion
243,@usuario243,2025-07-12,"No volvere a comprar aqui, muy decepcionado. #decepcion",69,498,16,volverir comprar aqui decepcionado decepcion
244,@usuario244,2025-09-09,No puedo creer lo mal que funciona esto. #colera,184,252,0,poder creer mal función colera
245,@usuario245,2025-05-18,"No volvere a comprar aqui, muy decepcionado. #decepcion",147,134,54,volverir comprar aqui decepcionado decepcion
246,@usuario246,2025-08-01,"Un producto realmente bueno, supero mis expectativas. #alegria",138,403,56,producto realmente bueno supero expectativa alegrio
247,@usuario247,2025-06-27,"Un producto realmente bueno, supero mis expectativas. #alegria",113,329,52,producto realmente bueno supero expectativa alegrio
248,@usuario248,2025-07-21,Es frustrante que no funcione como esperaba. #frustracion,146,317,44,frustrante funcione esperar frustracion
249,@usuario249,2025-04-14,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",114,44,73,experiencia maravilloso satisfecho satisfaccion
250,@usuario250,2025-01-29,El peor servicio que he recibido. #colera,84,104,49,peor servicio recibido colera
251,@usuario251,2025-04-22,Es frustrante que no funcione como esperaba. #frustracion,194,121,84,frustrante funcione esperar frustracion
252,@usuario252,2025-10-24,Es frustrante que no funcione como esperaba. #frustracion,24,468,67,frustrante funcione esperar frustracion
253,@usuario253,2025-12-27,"Esto es increible, estoy extasiado! #extasis",60,326,63,increible extasiado extasis
254,@usuario254,2025-03-09,No puedo creer lo mal que funciona esto. #colera,137,112,25,poder creer mal función colera
255,@usuario255,2025-10-11,Me siento decepcionado con la calidad. #decepcion,162,170,73,sentir decepcionado calidad decepcion
256,@usuario256,2025-06-15,El peor servicio que he recibido. #colera,80,107,97,peor servicio recibido colera
257,@usuario257,2025-01-07,Estoy muy feliz con este producto! #alegria,8,402,49,feliz producto alegrio
258,@usuario258,2025-12-06,No puedo creer lo mal que funciona esto. #colera,58,360,21,poder creer mal función colera
259,@usuario259,2025-09-08,"Un producto realmente bueno, supero mis expectativas. #alegria",31,132,29,producto realmente bueno supero expectativa alegrio
260,@usuario260,2025-02-22,No puedo creer lo mal que funciona esto. #colera,49,478,45,poder creer mal función colera
261,@usuario261,2025-11-10,Me siento decepcionado con la calidad. #decepcion,26,199,37,sentir decepcionado calidad decepcion
262,@usuario262,2025-09-29,No puedo creer lo mal que funciona esto. #colera,188,370,97,poder creer mal función colera
263,@usuario263,2025-07-31,No puedo creer lo mal que funciona esto. #colera,165,396,92,poder creer mal función colera
264,@usuario264,2025-05-21,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",42,121,92,experiencia maravilloso satisfecho satisfaccion
265,@usuario265,2025-09-20,Me siento decepcionado con la calidad. #decepcion,16,229,58,sentir decepcionado calidad decepcion
266,@usuario266,2025-03-29,"Un producto realmente bueno, supero mis expectativas. #alegria",4,216,42,producto realmente bueno supero expectativa alegrio
267,@usuario267,2025-10-07,Me siento decepcionado con la calidad. #decepcion,178,375,4,sentir decepcionado calidad decepcion
268,@usuario268,2025-08-02,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",34,423,45,servicio excelente satisfecho satisfaccion
269,@usuario269,2025-08-27,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",165,388,11,servicio excelente satisfecho satisfaccion
270,@usuario270,2025-01-30,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",105,228,98,experiencia maravilloso satisfecho satisfaccion
271,@usuario271,2025-06-14,Estoy muy feliz con este producto! #alegria,152,8,62,feliz producto alegrio
272,@usuario272,2025-03-30,"Un producto realmente bueno, supero mis expectativas. #alegria",187,288,4,producto realmente bueno supero expectativa alegrio
273,@usuario273,2025-06-21,Es frustrante que no funcione como esperaba. #frustracion,144,346,14,frustrante funcione esperar frustracion
274,@usuario274,2025-09-22,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",101,287,95,experiencia maravilloso satisfecho satisfaccion
275,@usuario275,2025-03-14,Es frustrante que no funcione como esperaba. #frustracion,116,434,3,frustrante funcione esperar frustracion
276,@usuario276,2025-09-09,Es frustrante que no funcione como esperaba. #frustracion,68,360,1,frustrante funcione esperar frustracion
277,@usuario277,2025-01-29,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",167,285,9,experiencia maravilloso satisfecho satisfaccion
278,@usuario278,2025-08-19,Me siento decepcionado con la calidad. #decepcion,16,144,72,sentir decepcionado calidad decepcion
279,@usuario279,2025-05-10,"Un producto realmente bueno, supero mis expectativas. #alegria",80,197,13,producto realmente bueno supero expectativa alegrio
280,@usuario280,2025-01-29,No puedo creer lo mal que funciona esto. #colera,71,204,84,poder creer mal función colera
281,@usuario281,2025-09-29,"Esto es increible, estoy extasiado! #extasis",26,385,51,increible extasiado extasis
282,@usuario282,2025-05-21,Me siento decepcionado con la calidad. #decepcion,154,480,87,sentir decepcionado calidad decepcion
283,@usuario283,2025-11-12,Me siento decepcionado con la calidad. #decepcion,92,110,92,sentir decepcionado calidad decepcion
284,@usuario284,2025-01-16,Me siento decepcionado con la calidad. #decepcion,51,445,80,sentir decepcionado calidad decepcion
285,@usuario285,2025-09-29,Me siento decepcionado con la calidad. #decepcion,17,142,1,sentir decepcionado calidad decepcion
286,@usuario286,2025-07-26,El peor servicio que he recibido. #colera,24,162,56,peor servicio recibido colera
287,@usuario287,2025-04-22,Me siento decepcionado con la calidad. #decepcion,131,266,91,sentir decepcionado calidad decepcion
288,@usuario288,2025-11-29,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",103,477,59,servicio excelente satisfecho satisfaccion
289,@usuario289,2025-09-23,Me siento decepcionado con la calidad. #decepcion,55,357,16,sentir decepcionado calidad decepcion
290,@usuario290,2025-09-12,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",8,223,49,servicio excelente satisfecho satisfaccion
291,@usuario291,2025-04-22,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",101,116,61,servicio excelente satisfecho satisfaccion
292,@usuario292,2025-05-18,"Esto es increible, estoy extasiado! #extasis",190,262,86,increible extasiado extasis
293,@usuario293,2025-11-29,"Un producto realmente bueno, supero mis expectativas. #alegria",1,118,43,producto realmente bueno supero expectativa alegrio
294,@usuario294,2025-10-22,"Esto es increible, estoy extasiado! #extasis",48,347,81,increible extasiado extasis
295,@usuario295,2025-05-30,El peor servicio que he recibido. #colera,35,123,56,peor servicio recibido colera
296,@usuario296,2025-04-11,Me siento decepcionado con la calidad. #decepcion,117,155,33,sentir decepcionado calidad decepcion
297,@usuario297,2025-09-03,"Esto es increible, estoy extasiado! #extasis",177,425,18,increible extasiado extasis
298,@usuario298,2025-09-07,No puedo creer lo mal que funciona esto. #colera,172,217,80,poder creer mal función colera
299,@usuario299,2025-11-14,"Esto es increible, estoy extasiado! #extasis",4,422,97,increible extasiado extasis
300,@usuario300,2025-08-31,Estoy muy feliz con este producto! #alegria,160,309,79,feliz producto alegrio
301,@usuario301,2025-04-22,Me siento decepcionado con la calidad. #decepcion,57,325,70,sentir decepcionado calidad decepcion
302,@usuario302,2025-09-29,"Esto es increible, estoy extasiado! #extasis",36,259,0,increible extasiado extasis
303,@usuario303,2025-06-11,No puedo creer lo mal que funciona esto. #colera,22,321,31,poder creer mal función colera
304,@usuario304,2025-10-20,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",183,440,25,servicio excelente satisfecho satisfaccion
305,@usuario305,2025-12-12,Estoy muy feliz con este producto! #alegria,28,64,42,feliz producto alegrio
306,@usuario306,2025-05-10,"Esto es increible, estoy extasiado! #extasis",31,159,79,increible extasiado extasis
307,@usuario307,2025-04-22,"Esto es increible, estoy extasiado! #extasis",62,262,27,increible extasiado extasis
308,@usuario308,2025-01-12,No puedo creer lo mal que funciona esto. #colera,6,297,53,poder creer mal función colera
309,@usuario309,2025-02-08,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",79,396,57,servicio excelente satisfecho satisfaccion
310,@usuario310,2025-01-12,"Esto es increible, estoy extasiado! #extasis",78,271,76,increible extasiado extasis
311,@usuario311,2025-03-02,"Esto es increible, estoy extasiado! #extasis",11,493,6,increible extasiado extasis
312,@usuario312,2025-11-22,El peor servicio que he recibido. #colera,154,305,58,peor servicio recibido colera
313,@usuario313,2025-09-17,"Un producto realmente bueno, supero mis expectativas. #alegria",59,331,26,producto realmente bueno supero expectativa alegrio
314,@usuario314,2025-10-21,No puedo creer lo mal que funciona esto. #colera,54,402,98,poder creer mal función colera
315,@usuario315,2025-10-25,"No volvere a comprar aqui, muy decepcionado. #decepcion",200,125,64,volverir comprar aqui decepcionado decepcion
316,@usuario316,2025-01-11,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",40,194,35,experiencia maravilloso satisfecho satisfaccion
317,@usuario317,2025-11-14,"Un producto realmente bueno, supero mis expectativas. #alegria",148,146,36,producto realmente bueno supero expectativa alegrio
318,@usuario318,2025-11-12,El peor servicio que he recibido. #colera,61,128,65,peor servicio recibido colera
319,@usuario319,2025-05-21,Es frustrante que no funcione como esperaba. #frustracion,104,268,19,frustrante funcione esperar frustracion
320,@usuario320,2025-07-07,El peor servicio que he recibido. #colera,68,413,13,peor servicio recibido colera
321,@usuario321,2025-02-14,El peor servicio que he recibido. #colera,44,428,85,peor servicio recibido colera
322,@usuario322,2025-02-10,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",127,46,6,experiencia maravilloso satisfecho satisfaccion
323,@usuario323,2025-12-19,Es frustrante que no funcione como esperaba. #frustracion,52,92,28,frustrante funcione esperar frustracion
324,@usuario324,2025-12-04,Estoy muy feliz con este producto! #alegria,94,206,51,feliz producto alegrio
325,@usuario325,2025-12-28,Estoy muy feliz con este producto! #alegria,130,354,12,feliz producto alegrio
326,@usuario326,2025-05-21,"Esto es increible, estoy extasiado! #extasis",123,220,88,increible extasiado extasis
327,@usuario327,2025-08-23,Estoy muy feliz con este producto! #alegria,161,96,27,feliz producto alegrio
328,@usuario328,2025-05-01,No puedo creer lo mal que funciona esto. #colera,152,234,90,poder creer mal función colera
329,@usuario329,2025-11-07,El peor servicio que he recibido. #colera,150,161,8,peor servicio recibido colera
330,@usuario330,2025-08-30,No puedo creer lo mal que funciona esto. #colera,173,317,50,poder creer mal función colera
331,@usuario331,2025-12-08,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",66,361,18,experiencia maravilloso satisfecho satisfaccion
332,@usuario332,2025-11-15,Estoy muy feliz con este producto! #alegria,83,3,11,feliz producto alegrio
333,@usuario333,2025-12-24,Estoy muy feliz con este producto! #alegria,167,46,18,feliz producto alegrio
334,@usuario334,2025-08-21,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",98,494,36,servicio excelente satisfecho satisfaccion
335,@usuario335,2025-05-11,Es frustrante que no funcione como esperaba. #frustracion,161,90,7,frustrante funcione esperar frustracion
336,@usuario336,2025-11-18,"No volvere a comprar aqui, muy decepcionado. #decepcion",79,466,25,volverir comprar aqui decepcionado decepcion
337,@usuario337,2025-05-13,El peor servicio que he recibido. #colera,159,80,35,peor servicio recibido colera
338,@usuario338,2025-05-17,"No volvere a comprar aqui, muy decepcionado. #decepcion",109,344,55,volverir comprar aqui decepcionado decepcion
339,@usuario339,2025-03-20,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",131,467,28,servicio excelente satisfecho satisfaccion
340,@usuario340,2025-11-06,"Esto es increible, estoy extasiado! #extasis",23,8,89,increible extasiado extasis
341,@usuario341,2025-08-16,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",185,379,68,servicio excelente satisfecho satisfaccion
342,@usuario342,2025-06-06,"No volvere a comprar aqui, muy decepcionado. #decepcion",147,465,54,volverir comprar aqui decepcionado decepcion
343,@usuario343,2025-08-03,No puedo creer lo mal que funciona esto. #colera,26,144,72,poder creer mal función colera
344,@usuario344,2025-01-01,"Esto es increible, estoy extasiado! #extasis",48,157,56,increible extasiado extasis
345,@usuario345,2025-04-17,"Esto es increible, estoy extasiado! #extasis",40,152,87,increible extasiado extasis
346,@usuario346,2025-12-19,Es frustrante que no funcione como esperaba. #frustracion,93,489,25,frustrante funcione esperar frustracion
347,@usuario347,2025-08-09,"No volvere a comprar aqui, muy decepcionado. #decepcion",46,365,33,volverir comprar aqui decepcionado decepcion
348,@usuario348,2025-04-03,"Un producto realmente bueno, supero mis expectativas. #alegria",66,426,56,producto realmente bueno supero expectativa alegrio
349,@usuario349,2025-08-29,No puedo creer lo mal que funciona esto. #colera,181,260,27,poder creer mal función colera
350,@usuario350,2025-05-09,No puedo creer lo mal que funciona esto. #colera,184,372,69,poder creer mal función colera
351,@usuario351,2025-11-27,Es frustrante que no funcione como esperaba. #frustracion,14,203,91,frustrante funcione esperar frustracion
352,@usuario352,2025-06-16,No puedo creer lo mal que funciona esto. #colera,146,2,39,poder creer mal función colera
353,@usuario353,2025-02-24,Me siento decepcionado con la calidad. #decepcion,53,257,94,sentir decepcionado calidad decepcion
354,@usuario354,2025-01-25,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",19,76,56,experiencia maravilloso satisfecho satisfaccion
355,@usuario355,2025-08-25,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",41,446,94,experiencia maravilloso satisfecho satisfaccion
356,@usuario356,2025-12-04,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",153,420,26,experiencia maravilloso satisfecho satisfaccion
357,@usuario357,2025-07-02,Estoy muy feliz con este producto! #alegria,112,174,37,feliz producto alegrio
358,@usuario358,2025-10-03,Estoy muy feliz con este producto! #alegria,171,383,100,feliz producto alegrio
359,@usuario359,2025-06-23,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",114,93,62,servicio excelente satisfecho satisfaccion
360,@usuario360,2025-12-12,Es frustrante que no funcione como esperaba. #frustracion,84,204,96,frustrante funcione esperar frustracion
361,@usuario361,2025-03-14,Estoy muy feliz con este producto! #alegria,166,164,11,feliz producto alegrio
362,@usuario362,2025-03-30,No puedo creer lo mal que funciona esto. #colera,143,287,13,poder creer mal función colera
363,@usuario363,2025-03-26,Estoy muy feliz con este producto! #alegria,158,81,89,feliz producto alegrio
364,@usuario364,2025-06-16,"Un producto realmente bueno, supero mis expectativas. #alegria",112,378,57,producto realmente bueno supero expectativa alegrio
365,@usuario365,2025-01-29,"Esto es increible, estoy extasiado! #extasis",104,264,29,increible extasiado extasis
366,@usuario366,2025-06-09,Es frustrante que no funcione como esperaba. #frustracion,152,478,2,frustrante funcione esperar frustracion
367,@usuario367,2025-09-01,Es frustrante que no funcione como esperaba. #frustracion,103,263,23,frustrante funcione esperar frustracion
368,@usuario368,2025-01-29,"Esto es increible, estoy extasiado! #extasis",110,22,14,increible extasiado extasis
369,@usuario369,2025-10-08,Estoy muy feliz con este producto! #alegria,22,48,6,feliz producto alegrio
370,@usuario370,2025-02-25,Estoy muy feliz con este producto! #alegria,1,35,81,feliz producto alegrio
371,@usuario371,2025-11-16,Estoy muy feliz con este producto! #alegria,7,205,34,feliz producto alegrio
372,@usuario372,2025-09-29,Es frustrante que no funcione como esperaba. #frustracion,199,195,81,frustrante funcione esperar frustracion
373,@usuario373,2025-03-25,"Un producto realmente bueno, supero mis expectativas. #alegria",147,157,78,producto realmente bueno supero expectativa alegrio
374,@usuario374,2025-11-08,Estoy muy feliz con este producto! #alegria,33,318,54,feliz producto alegrio
375,@usuario375,2025-09-26,"Un producto realmente bueno, supero mis expectativas. #alegria",52,453,88,producto realmente bueno supero expectativa alegrio
376,@usuario376,2025-07-05,El peor servicio que he recibido. #colera,183,351,100,peor servicio recibido colera
377,@usuario377,2025-05-28,"Un producto realmente bueno, supero mis expectativas. #alegria",177,379,18,producto realmente bueno supero expectativa alegrio
378,@usuario378,2025-01-26,No puedo creer lo mal que funciona esto. #colera,148,185,55,poder creer mal función colera
379,@usuario379,2025-03-12,Me siento decepcionado con la calidad. #decepcion,96,346,96,sentir decepcionado calidad decepcion
380,@usuario380,2025-07-31,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",23,189,66,experiencia maravilloso satisfecho satisfaccion
381,@usuario381,2025-02-01,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",181,77,2,servicio excelente satisfecho satisfaccion
382,@usuario382,2025-04-30,"Esto es increible, estoy extasiado! #extasis",98,166,60,increible extasiado extasis
383,@usuario383,2025-01-30,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",6,462,35,experiencia maravilloso satisfecho satisfaccion
384,@usuario384,2025-04-30,El peor servicio que he recibido. #colera,127,481,55,peor servicio recibido colera
385,@usuario385,2025-11-02,"No volvere a comprar aqui, muy decepcionado. #decepcion",18,36,97,volverir comprar aqui decepcionado decepcion
386,@usuario386,2025-03-25,Es frustrante que no funcione como esperaba. #frustracion,73,420,45,frustrante funcione esperar frustracion
387,@usuario387,2025-09-06,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",180,141,5,experiencia maravilloso satisfecho satisfaccion
388,@usuario388,2025-08-22,Es frustrante que no funcione como esperaba. #frustracion,34,108,55,frustrante funcione esperar frustracion
389,@usuario389,2025-11-04,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",22,412,39,experiencia maravilloso satisfecho satisfaccion
390,@usuario390,2025-12-08,Me siento decepcionado con la calidad. #decepcion,145,239,71,sentir decepcionado calidad decepcion
391,@usuario391,2025-09-20,Me siento decepcionado con la calidad. #decepcion,76,92,93,sentir decepcionado calidad decepcion
392,@usuario392,2025-01-10,"Un producto realmente bueno, supero mis expectativas. #alegria",94,236,22,producto realmente bueno supero expectativa alegrio
393,@usuario393,2025-04-01,No puedo creer lo mal que funciona esto. #colera,7,194,31,poder creer mal función colera
394,@usuario394,2025-08-08,"Un producto realmente bueno, supero mis expectativas. #alegria",43,257,52,producto realmente bueno supero expectativa alegrio
395,@usuario395,2025-07-06,Es frustrante que no funcione como esperaba. #frustracion,32,402,13,frustrante funcione esperar frustracion
396,@usuario396,2025-10-31,Es frustrante que no funcione como esperaba. #frustracion,133,485,36,frustrante funcione esperar frustracion
397,@usuario397,2025-09-23,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",5,259,83,experiencia maravilloso satisfecho satisfaccion
398,@usuario398,2025-02-01,"Un producto realmente bueno, supero mis expectativas. #alegria",117,196,59,producto realmente bueno supero expectativa alegrio
399,@usuario399,2025-08-11,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",13,131,76,experiencia maravilloso satisfecho satisfaccion
400,@usuario400,2025-01-03,"Un producto realmente bueno, supero mis expectativas. #alegria",132,361,50,producto realmente bueno supero expectativa alegrio
401,@usuario401,2025-08-22,Me siento decepcionado con la calidad. #decepcion,112,153,95,sentir decepcionado calidad decepcion
402,@usuario402,2025-04-10,"Un producto realmente bueno, supero mis expectativas. #alegria",142,395,79,producto realmente bueno supero expectativa alegrio
403,@usuario403,2025-03-22,Me siento decepcionado con la calidad. #decepcion,119,90,91,sentir decepcionado calidad decepcion
404,@usuario404,2025-10-05,Es frustrante que no funcione como esperaba. #frustracion,101,474,2,frustrante funcione esperar frustracion
405,@usuario405,2025-03-04,Me siento decepcionado con la calidad. #decepcion,83,405,97,sentir decepcionado calidad decepcion
406,@usuario406,2025-09-24,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",120,178,35,servicio excelente satisfecho satisfaccion
407,@usuario407,2025-08-07,"Esto es increible, estoy extasiado! #extasis",158,378,68,increible extasiado extasis
408,@usuario408,2025-11-23,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",18,484,92,servicio excelente satisfecho satisfaccion
409,@usuario409,2025-10-30,Es frustrante que no funcione como esperaba. #frustracion,101,322,20,frustrante funcione esperar frustracion
410,@usuario410,2025-08-10,"No volvere a comprar aqui, muy decepcionado. #decepcion",26,453,51,volverir comprar aqui decepcionado decepcion
411,@usuario411,2025-02-03,Estoy muy feliz con este producto! #alegria,182,98,16,feliz producto alegrio
412,@usuario412,2025-05-15,El peor servicio que he recibido. #colera,40,384,37,peor servicio recibido colera
413,@usuario413,2025-12-22,"No volvere a comprar aqui, muy decepcionado. #decepcion",160,196,83,volverir comprar aqui decepcionado decepcion
414,@usuario414,2025-10-24,"Esto es increible, estoy extasiado! #extasis",143,147,71,increible extasiado extasis
415,@usuario415,2025-02-20,No puedo creer lo mal que funciona esto. #colera,31,315,10,poder creer mal función colera
416,@usuario416,2025-04-30,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",49,48,31,servicio excelente satisfecho satisfaccion
417,@usuario417,2025-12-15,"Esto es increible, estoy extasiado! #extasis",60,190,46,increible extasiado extasis
418,@usuario418,2025-01-04,Me siento decepcionado con la calidad. #decepcion,144,233,67,sentir decepcionado calidad decepcion
419,@usuario419,2025-11-13,El peor servicio que he recibido. #colera,179,335,73,peor servicio recibido colera
420,@usuario420,2025-12-27,Me siento decepcionado con la calidad. #decepcion,2,134,32,sentir decepcionado calidad decepcion
421,@usuario421,2025-03-05,Me siento decepcionado con la calidad. #decepcion,146,272,38,sentir decepcionado calidad decepcion
422,@usuario422,2025-07-12,"Un producto realmente bueno, supero mis expectativas. #alegria",40,284,32,producto realmente bueno supero expectativa alegrio
423,@usuario423,2025-05-25,Estoy muy feliz con este producto! #alegria,104,449,97,feliz producto alegrio
424,@usuario424,2025-02-22,El peor servicio que he recibido. #colera,181,267,96,peor servicio recibido colera
425,@usuario425,2025-07-04,"No volvere a comprar aqui, muy decepcionado. #decepcion",80,5,14,volverir comprar aqui decepcionado decepcion
426,@usuario426,2025-12-16,"Un producto realmente bueno, supero mis expectativas. #alegria",115,279,80,producto realmente bueno supero expectativa alegrio
427,@usuario427,2025-08-02,No puedo creer lo mal que funciona esto. #colera,182,95,86,poder creer mal función colera
428,@usuario428,2025-06-18,Me siento decepcionado con la calidad. #decepcion,44,360,100,sentir decepcionado calidad decepcion
429,@usuario429,2025-03-04,Es frustrante que no funcione como esperaba. #frustracion,0,136,19,frustrante funcione esperar frustracion
430,@usuario430,2025-09-07,El peor servicio que he recibido. #colera,198,280,94,peor servicio recibido colera
431,@usuario431,2025-04-28,"No volvere a comprar aqui, muy decepcionado. #decepcion",35,345,41,volverir comprar aqui decepcionado decepcion
432,@usuario432,2025-01-17,"Esto es increible, estoy extasiado! #extasis",46,238,28,increible extasiado extasis
433,@usuario433,2025-11-21,"Esto es increible, estoy extasiado! #extasis",65,220,79,increible extasiado extasis
434,@usuario434,2025-11-26,"Un producto realmente bueno, supero mis expectativas. #alegria",139,340,97,producto realmente bueno supero expectativa alegrio
435,@usuario435,2025-11-08,"Esto es increible, estoy extasiado! #extasis",110,53,6,increible extasiado extasis
436,@usuario436,2025-12-21,Estoy muy feliz con este producto! #alegria,151,12,96,feliz producto alegrio
437,@usuario437,2025-01-13,"Un producto realmente bueno, supero mis expectativas. #alegria",74,329,21,producto realmente bueno supero expectativa alegrio
438,@usuario438,2025-12-06,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",68,228,9,servicio excelente satisfecho satisfaccion
439,@usuario439,2025-09-06,El peor servicio que he recibido. #colera,71,305,24,peor servicio recibido colera
440,@usuario440,2025-08-25,Es frustrante que no funcione como esperaba. #frustracion,148,28,4,frustrante funcione esperar frustracion
441,@usuario441,2025-08-18,"Un producto realmente bueno, supero mis expectativas. #alegria",171,128,92,producto realmente bueno supero expectativa alegrio
442,@usuario442,2025-04-09,No puedo creer lo mal que funciona esto. #colera,165,334,10,poder creer mal función colera
443,@usuario443,2025-01-31,Estoy muy feliz con este producto! #alegria,84,367,55,feliz producto alegrio
444,@usuario444,2025-11-20,"Esto es increible, estoy extasiado! #extasis",150,135,0,increible extasiado extasis
445,@usuario445,2025-05-02,Estoy muy feliz con este producto! #alegria,80,165,88,feliz producto alegrio
446,@usuario446,2025-03-16,Me siento decepcionado con la calidad. #decepcion,81,65,79,sentir decepcionado calidad decepcion
447,@usuario447,2025-06-02,Me siento decepcionado con la calidad. #decepcion,88,27,53,sentir decepcionado calidad decepcion
448,@usuario448,2025-05-05,El peor servicio que he recibido. #colera,199,264,67,peor servicio recibido colera
449,@usuario449,2025-03-31,No puedo creer lo mal que funciona esto. #colera,121,189,88,poder creer mal función colera
450,@usuario450,2025-02-04,El peor servicio que he recibido. #colera,152,134,88,peor servicio recibido colera
451,@usuario451,2025-07-02,Estoy muy feliz con este producto! #alegria,171,293,50,feliz producto alegrio
452,@usuario452,2025-11-04,Es frustrante que no funcione como esperaba. #frustracion,63,79,71,frustrante funcione esperar frustracion
453,@usuario453,2025-11-19,"Un producto realmente bueno, supero mis expectativas. #alegria",128,372,32,producto realmente bueno supero expectativa alegrio
454,@usuario454,2025-03-09,"Un producto realmente bueno, supero mis expectativas. #alegria",69,459,90,producto realmente bueno supero expectativa alegrio
455,@usuario455,2025-03-02,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",128,98,22,servicio excelente satisfecho satisfaccion
456,@usuario456,2025-08-30,"No volvere a comprar aqui, muy decepcionado. #decepcion",57,122,93,volverir comprar aqui decepcionado decepcion
457,@usuario457,2025-09-18,"No volvere a comprar aqui, muy decepcionado. #decepcion",57,491,39,volverir comprar aqui decepcionado decepcion
458,@usuario458,2025-05-09,Es frustrante que no funcione como esperaba. #frustracion,142,180,33,frustrante funcione esperar frustracion
459,@usuario459,2025-04-23,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",25,131,88,experiencia maravilloso satisfecho satisfaccion
460,@usuario460,2025-07-23,Me siento decepcionado con la calidad. #decepcion,21,95,76,sentir decepcionado calidad decepcion
461,@usuario461,2025-02-14,No puedo creer lo mal que funciona esto. #colera,160,467,53,poder creer mal función colera
462,@usuario462,2025-04-12,"Un producto realmente bueno, supero mis expectativas. #alegria",197,484,9,producto realmente bueno supero expectativa alegrio
463,@usuario463,2025-12-09,"Un producto realmente bueno, supero mis expectativas. #alegria",53,386,3,producto realmente bueno supero expectativa alegrio
464,@usuario464,2025-10-01,Me siento decepcionado con la calidad. #decepcion,76,165,53,sentir decepcionado calidad decepcion
465,@usuario465,2025-01-23,"Esto es increible, estoy extasiado! #extasis",129,216,18,increible extasiado extasis
466,@usuario466,2025-12-12,"No volvere a comprar aqui, muy decepcionado. #decepcion",96,476,30,volverir comprar aqui decepcionado decepcion
